case_id,category,retrieval_hit,answer_completeness,structured_success,latency_ms,fallback_used,notes
qa-01,qa,,,,,,
qa-02,qa,,,,,,
qa-03,qa,,,,,,
qa-04,qa,,,,,,
qa-05,qa,,,,,,
qa-06,qa,,,,,,
qa-07,qa,,,,,,
qa-08,qa,,,,,,
qa-09,qa,,,,,,
qa-10,qa,,,,,,
qa-11,qa,,,,,,
qa-12,qa,,,,,,
qa-13,qa,,,,,,
qa-14,qa,,,,,,
qa-15,qa,,,,,,
qa-16,qa,,,,,,
qa-17,qa,,,,,,
qa-18,qa,,,,,,
qa-19,qa,,,,,,
qa-20,qa,,,,,,
qa-21,qa,,,,,,
qa-22,qa,,,,,,
qa-23,qa,,,,,,
qa-24,qa,,,,,,
contract-01,contract,,,,,,
contract-02,contract,,,,,,
contract-03,contract,,,,,,

